filename,width,height,class,xmin,ymin,xmax,ymax
r49.jpg,275,183,robbery,21,2,260,183
r49.jpg,275,183,robbery,31,20,246,165
r49.jpg,275,183,robbery,31,93,235,164
oc51.jpg,474,215,occlusion,78,4,388,161
la25.JPEG,470,310,logical attack,3,8,461,285
la25.JPEG,470,310,logical attack,5,140,437,256
sk12.jpg,311,162,skimming,213,53,307,159
sk12.jpg,311,162,skimming,104,57,205,155
sk12.jpg,311,162,skimming,105,5,215,162
sk12.jpg,311,162,skimming,158,58,204,115
oc62.jpg,474,632,occlusion,62,20,430,373
sk18.jpg,265,190,skimming,35,4,265,178
sk18.jpg,265,190,skimming,40,17,168,173
sk18.jpg,265,190,skimming,53,103,125,167
sk18.jpg,265,190,skimming,55,60,162,166
r37.jpg,273,185,robbery,155,69,261,185
r83.jpg,300,168,robbery,14,13,278,168
r83.jpg,300,168,robbery,31,20,201,126
ctpn15.JPEG,474,331,card trapping,163,43,377,231
ctpn15.JPEG,474,331,card trapping,239,131,366,222
ctpn29.JPEG,474,274,card trapping,138,175,197,274
ctpn29.JPEG,474,274,card trapping,323,174,452,247
pa33.png,225,225,physical attack,2,94,225,150
sk3.jpg,310,163,skimming,2,1,158,156
sk3.jpg,310,163,skimming,170,12,310,161
sk3.jpg,310,163,skimming,118,39,155,73
sk3.jpg,310,163,skimming,238,66,310,140
r35.jpg,272,185,robbery,18,1,272,181
r35.jpg,272,185,robbery,69,2,202,185
n184.jpg,474,474,normal,125,131,366,408
n118.jpg,474,442,normal,1,4,474,440
n118.jpg,474,442,normal,15,9,474,318
n118.jpg,474,442,normal,73,81,323,270
sk10.jpg,194,259,skimming,7,4,193,259
sk10.jpg,194,259,skimming,42,64,188,253
sk10.jpg,194,259,skimming,61,82,183,201
j23.jpg,275,183,jackpotting,3,3,269,182
j23.jpg,275,183,jackpotting,69,5,248,183
j23.jpg,275,183,jackpotting,127,7,245,128
cash tpn42.jpg,474,355,cash trapping,100,109,292,277
n143.jpg,474,266,normal,55,5,474,264
n143.jpg,474,266,normal,75,63,466,230
trf5.jpg,2122,1412,transaction reversal fraud,191,68,2122,1153
n206.jpg,269,160,normal,6,25,261,155
n206.jpg,269,160,normal,16,26,258,132
n206.jpg,269,160,normal,34,5,267,160
n206.jpg,269,160,normal,82,17,253,124
pa102.jpg,263,192,physical attack,113,44,263,176
pa102.jpg,263,192,physical attack,117,53,238,134
pa102.jpg,263,192,physical attack,117,48,257,140
oc28.jpg,474,510,occlusion,11,21,465,510
oc28.jpg,474,510,occlusion,31,13,391,327
pa118.jpg,300,168,physical attack,4,14,298,150
pa118.jpg,300,168,physical attack,28,22,300,115
pa118.jpg,300,168,physical attack,13,19,198,151
pa117.jpg,225,225,physical attack,8,3,221,225
pa117.jpg,225,225,physical attack,1,2,225,116
la15..JPEG,474,316,logical attack,13,12,361,316
la15..JPEG,474,316,logical attack,9,68,345,316
la15..JPEG,474,316,logical attack,35,149,271,316
la15..JPEG,474,316,logical attack,133,11,361,292
n109.jpg,400,285,normal,2,3,398,260
oc72.jpg,474,708,occlusion,24,149,474,525
la10.jpg,267,189,logical attack,2,5,267,78
la10.jpg,267,189,logical attack,5,4,267,179
la10.jpg,267,189,logical attack,55,2,267,181
la10.jpg,267,189,logical attack,3,3,264,81
la10.jpg,267,189,logical attack,61,6,264,189
ctpn39.JPEG,474,1201,card trapping,8,396,465,522
ctpn39.JPEG,474,1201,card trapping,2,271,474,620
ctpn39.JPEG,474,1201,card trapping,10,924,468,1171
ctpn39.JPEG,474,1201,card trapping,19,641,452,903
r27.jpg,306,412,robbery,3,130,275,219
r27.jpg,306,412,robbery,2,16,306,123
cash tpn39.jpg,474,741,cash trapping,127,550,345,623
n64.jpg,474,286,normal,5,2,474,281
n64.jpg,474,286,normal,53,69,468,273
cash tpn33.jpg,474,269,cash trapping,5,10,474,264
cash tpn33.jpg,474,269,cash trapping,13,48,329,250
n201.jpg,474,316,normal,115,6,474,300
pa73.jpg,275,183,physical attack,16,5,274,183
pa73.jpg,275,183,physical attack,23,12,184,183
pa73.jpg,275,183,physical attack,30,16,143,93
pa73.jpg,275,183,physical attack,33,5,120,62
cash tpn20.jpg,474,125,cash trapping,18,9,468,92
cash tpn20.jpg,474,125,cash trapping,28,27,250,79
n100.jpg,474,348,normal,5,3,471,309
n168.jpg,474,952,normal,196,238,408,641
n212.jpg,243,160,normal,3,1,239,160
n212.jpg,243,160,normal,10,1,137,160
n212.jpg,243,160,normal,130,2,243,152
n212.jpg,243,160,normal,2,3,243,79
n212.jpg,243,160,normal,70,15,131,160
pa22.jpg,301,167,physical attack,8,6,284,155
pa22.jpg,301,167,physical attack,1,1,103,60
pa22.jpg,301,167,physical attack,1,1,293,167
n190.jpg,474,266,normal,3,7,256,266
n117.jpg,474,474,normal,4,6,474,470
n193.jpg,474,316,normal,10,2,443,122
sk21.jpg,318,159,skimming,4,1,279,159
sk21.jpg,318,159,skimming,48,1,316,159
sk21.jpg,318,159,skimming,56,19,230,148
n160.jpg,474,632,normal,47,25,316,457
pa94.jpg,284,177,physical attack,120,26,284,158
pa122.jpg,310,163,physical attack,34,46,310,127
pa122.jpg,310,163,physical attack,14,54,292,148
